Date,Active Cases
"Feb 19, 2020",3
"Feb 20, 2020",4
"Feb 21, 2020",19
"Feb 22, 2020",76
"Feb 23, 2020",153
"Feb 24, 2020",221
"Feb 25, 2020",311
"Feb 26, 2020",385
"Feb 27, 2020",588
"Feb 28, 2020",821
"Feb 29, 2020",1049
"Mar 1, 2020",1577
"Mar 2, 2020",1835
"Mar 3, 2020",2263
"Mar 4, 2020",2706
"Mar 5, 2020",3296
"Mar 6, 2020",3916
"Mar 7, 2020",5061
"Mar 8, 2020",6387
"Mar 9, 2020",7985
"Mar 10, 2020",8514
"Mar 11, 2020",10590
"Mar 12, 2020",12839
"Mar 13, 2020",14955
"Mar 14, 2020",17750
"Mar 15, 2020",20603
"Mar 16, 2020",23073
"Mar 17, 2020",26062
"Mar 18, 2020",28710
"Mar 19, 2020",33190
"Mar 20, 2020",37860
"Mar 21, 2020",42681
"Mar 22, 2020",46638
"Mar 23, 2020",50418
"Mar 24, 2020",54030
"Mar 25, 2020",57521
"Mar 26, 2020",62013
"Mar 27, 2020",66414
"Mar 28, 2020",70065
"Mar 29, 2020",73880
"Mar 30, 2020",75528
"Mar 31, 2020",77635
"Apr 1, 2020",80572
"Apr 2, 2020",83049
"Apr 3, 2020",85388
"Apr 4, 2020",88274
"Apr 5, 2020",91246
"Apr 6, 2020",93187
"Apr 7, 2020",94067
"Apr 8, 2020",95262
"Apr 9, 2020",96877
"Apr 10, 2020",98273
"Apr 11, 2020",100269
"Apr 12, 2020",102253
"Apr 13, 2020",103616
"Apr 14, 2020",104291
"Apr 15, 2020",105418
"Apr 16, 2020",106607
"Apr 17, 2020",106962
"Apr 18, 2020",107771
"Apr 19, 2020",108257
"Apr 20, 2020",108237
"Apr 21, 2020",107709
"Apr 22, 2020",107699
"Apr 23, 2020",106848
"Apr 24, 2020",106527
"Apr 25, 2020",105847
"Apr 26, 2020",106103
"Apr 27, 2020",105813
"Apr 28, 2020",105205
"Apr 29, 2020",104657
"Apr 30, 2020",101551
"May 1, 2020",100943
"May 2, 2020",100704
"May 3, 2020",100179
"May 4, 2020",99980
"May 5, 2020",98467
"May 6, 2020",91528
"May 7, 2020",89624
"May 8, 2020",87961
"May 9, 2020",84842
"May 10, 2020",83324
"May 11, 2020",82488
"May 12, 2020",81266
"May 13, 2020",78457
"May 14, 2020",76440
"May 15, 2020",72070
"May 16, 2020",70187
"May 17, 2020",68351
"May 18, 2020",66553
"May 19, 2020",65129
"May 20, 2020",62752
"May 21, 2020",60960
"May 22, 2020",59322
"May 23, 2020",57752
"May 24, 2020",56594
"May 25, 2020",55300
"May 26, 2020",52942
"May 27, 2020",50966
"May 28, 2020",47986
"May 29, 2020",46175
"May 30, 2020",43691
"May 31, 2020",42097
"Jun 1, 2020",41367
"Jun 2, 2020",39893
"Jun 3, 2020",39297
"Jun 4, 2020",38429
"Jun 5, 2020",36976
"Jun 6, 2020",35877
"Jun 7, 2020",35262
"Jun 8, 2020",34730
"Jun 9, 2020",32872
"Jun 10, 2020",31710
"Jun 11, 2020",30637
"Jun 12, 2020",28997
"Jun 13, 2020",27485
"Jun 14, 2020",26274
"Jun 15, 2020",25909
"Jun 16, 2020",24569
"Jun 17, 2020",23925
"Jun 18, 2020",23101
"Jun 19, 2020",21543
"Jun 20, 2020",21212
"Jun 21, 2020",20972
"Jun 22, 2020",20637
"Jun 23, 2020",19573
"Jun 24, 2020",18655
"Jun 25, 2020",18303
"Jun 26, 2020",17638
"Jun 27, 2020",16836
"Jun 28, 2020",16681
"Jun 29, 2020",16496
"Jun 30, 2020",15563
"Jul 1, 2020",15255
"Jul 2, 2020",15060
"Jul 3, 2020",14884
"Jul 4, 2020",14621
"Jul 5, 2020",14642
"Jul 6, 2020",14709
"Jul 7, 2020",14242
"Jul 8, 2020",13595
"Jul 9, 2020",13459
"Jul 10, 2020",13428
"Jul 11, 2020",13303
"Jul 12, 2020",13179
"Jul 13, 2020",13157
"Jul 14, 2020",12919
"Jul 15, 2020",12493
"Jul 16, 2020",12473
"Jul 17, 2020",12456
"Jul 18, 2020",12368
"Jul 19, 2020",12440
"Jul 20, 2020",12404
"Jul 21, 2020",12248
"Jul 22, 2020",12322
"Jul 23, 2020",12404
"Jul 24, 2020",12301
"Jul 25, 2020",12442
"Jul 26, 2020",12565
"Jul 27, 2020",12581
"Jul 28, 2020",12609
"Jul 29, 2020",12616
"Jul 30, 2020",12230
"Jul 31, 2020",12422
"Aug 1, 2020",12457
"Aug 2, 2020",12456
"Aug 3, 2020",12474
"Aug 4, 2020",12482
"Aug 5, 2020",12646
"Aug 6, 2020",12694
"Aug 7, 2020",12924
"Aug 8, 2020",12953
"Aug 9, 2020",13263
"Aug 10, 2020",13368
"Aug 11, 2020",13561
"Aug 12, 2020",13791
"Aug 13, 2020",14081
"Aug 14, 2020",14249
"Aug 15, 2020",14406
"Aug 16, 2020",14733
"Aug 17, 2020",14867
"Aug 18, 2020",15089
"Aug 19, 2020",15360
"Aug 20, 2020",16014
"Aug 21, 2020",16678
"Aug 22, 2020",17503
"Aug 23, 2020",18438
"Aug 24, 2020",19195
"Aug 25, 2020",19714
"Aug 26, 2020",20753
"Aug 27, 2020",21932
"Aug 28, 2020",23035
"Aug 29, 2020",24156
"Aug 30, 2020",25205
"Aug 31, 2020",26078
"Sep 1, 2020",26754
"Sep 2, 2020",27817
"Sep 3, 2020",28915
"Sep 4, 2020",30099