Date,Cases
2020-01-29,2
2020-01-30,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,3
2020-02-21,33
2020-02-22,55
2020-02-23,75
2020-02-24,87
2020-02-25,195
2020-02-26,278
2020-02-27,286
2020-02-28,357
2020-02-29,369
2020-03-01,411
2020-03-02,638
2020-03-03,812
2020-03-04,1087
2020-03-05,1310
2020-03-06,1545
2020-03-07,1413
2020-03-08,1465
2020-03-09,2234
2020-03-10,2482
2020-03-11,2781
2020-03-12,3163
2020-03-13,4132
2020-03-14,3564
2020-03-15,2871
2020-03-16,4845
2020-03-17,5337
2020-03-18,5712
2020-03-19,5713
2020-03-20,6231
2020-03-21,4909
2020-03-22,3954
2020-03-23,6092
2020-03-24,5895
2020-03-25,5791
2020-03-26,5673
2020-03-27,5745
2020-03-28,4523
2020-03-29,2972
2020-03-30,5098
2020-03-31,5315
2020-04-01,4995
2020-04-02,4717
2020-04-03,4461
2020-04-04,3651
2020-04-05,2592
2020-04-06,4053
2020-04-07,4193
2020-04-08,4764
2020-04-09,4677
2020-04-10,5122
2020-04-11,3383
2020-04-12,1917
2020-04-13,2238
2020-04-14,3303
2020-04-15,3958
2020-04-16,3661
2020-04-17,3455
2020-04-18,2652
2020-04-19,1376
2020-04-20,3049
2020-04-21,3044
2020-04-22,2595
2020-04-23,2819
2020-04-24,2686
2020-04-25,1654
2020-04-26,1024
2020-04-27,1953
2020-04-28,2226
2020-04-29,2304
2020-04-30,2265
2020-05-01,1106
2020-05-02,1001
2020-05-03,511
2020-05-04,1434
2020-05-05,1544
2020-05-06,1432
2020-05-07,1384
2020-05-08,1387
2020-05-09,733
2020-05-10,333
2020-05-11,883
2020-05-12,923
2020-05-13,879
2020-05-14,900
2020-05-15,788
2020-05-16,616
2020-05-17,300
2020-05-18,651
2020-05-19,721
2020-05-20,668
2020-05-21,616
2020-05-22,694
2020-05-23,364
2020-05-24,148
2020-05-25,511
2020-05-26,538
2020-05-27,535
2020-05-28,518
2020-05-29,391
2020-05-30,284
2020-05-31,91
2020-06-01,389
2020-06-02,86
2020-06-03,353
2020-06-04,369
2020-06-05,384
2020-06-06,204
2020-06-07,83
2020-06-08,294
2020-06-09,356
2020-06-10,396
2020-06-11,444
2020-06-12,365
2020-06-13,217
2020-06-14,67
2020-06-15,278
2020-06-16,274
2020-06-17,302
2020-06-18,235
2020-06-19,292
2020-06-20,157
2020-06-21,60
2020-06-22,326
2020-06-23,290
2020-06-24,198
2020-06-25,204
2020-06-26,185
2020-06-27,121
2020-06-28,63
2020-06-29,235
2020-06-30,197
2020-07-01,237
2020-07-02,248
2020-07-03,234
2020-07-04,212
2020-07-05,78
2020-07-06,241
2020-07-07,224
2020-07-08,281
2020-07-09,213
2020-07-10,249
2020-07-11,157
2020-07-12,55
2020-07-13,184
2020-07-14,231
2020-07-15,236
2020-07-16,249
2020-07-17,283
2020-07-18,164
2020-07-19,110
2020-07-20,314
2020-07-21,276
2020-07-22,272
2020-07-23,263
2020-07-24,310
2020-07-25,183
2020-07-26,89
2020-07-27,316
2020-07-28,313
2020-07-29,483
2020-07-30,304
2020-07-31,309
2020-08-01,190
2020-08-02,107
2020-08-03,415
2020-08-04,385
2020-08-05,499
2020-08-06,391
2020-08-07,497
2020-08-08,341
2020-08-09,193
2020-08-10,484
2020-08-11,517
2020-08-12,626
2020-08-13,548
2020-08-14,623
2020-08-15,319
2020-08-16,304
2020-08-17,679
2020-08-18,901
2020-08-19,1035
2020-08-20,1084
2020-08-21,1365