Codice_Regione,Regioni,Totale_Maschi,Totale_Femmine,Totale
1,Piemonte,2109314,2232061,4341375
2,Valle d'Aosta,61325,64176,125501
3,Lombardia,4949770,5154199,10103969
4,Trentino-Alto Adige/Sudtirol,529824,544995,1074819
5,Veneto,2403360,2504344,4907704
6,Friuli-Venezia Giulia,589215,622142,1211357
7,Liguria,739021,804106,1543127
8,Emilia-Romagna,2174599,2292519,4467118
9,Toscana,1798279,1924450,3722729
10,Umbria,424592,455693,880285
11,Marche,738259,780141,1518400
12,Lazio,2832324,3033220,5865544
13,Abruzzo,637388,668382,1305770
14,Molise,148764,153501,302265
15,Campania,2820555,2965306,5785861
16,Puglia,1950256,2058040,4008296
17,Basilicata,273941,282993,556934
18,Calabria,942644,982057,1924701
19,Sicilia,2416233,2552177,4968410
20,Sardegna,800902,829572,1630474